image_name,label
11259.jpg,0
22115.jpg,5
19988.jpg,2
102.jpg,4
4748.jpg,0
18657.jpg,2
10656.jpg,0
1233.jpg,2
21358.jpg,1
10709.jpg,2
3347.jpg,5
3591.jpg,1
23702.jpg,3
2806.jpg,4
6766.jpg,3
16008.jpg,3
14212.jpg,0
7195.jpg,0
7610.jpg,0
4948.jpg,5
11141.jpg,5
6346.jpg,0
7609.jpg,4
3234.jpg,3
12698.jpg,3
13732.jpg,1
12473.jpg,2
15597.jpg,1
292.jpg,0
22289.jpg,1
18237.jpg,0
10086.jpg,1
22503.jpg,3
14955.jpg,4
17190.jpg,4
15695.jpg,2
4639.jpg,3
12888.jpg,1
998.jpg,2
20800.jpg,1
17854.jpg,5
1675.jpg,4
6543.jpg,2
7780.jpg,3
390.jpg,0
20804.jpg,0
7512.jpg,2
13502.jpg,4
15839.jpg,2
8256.jpg,5
16190.jpg,2
17346.jpg,5
2391.jpg,4
1689.jpg,5
23694.jpg,1
11567.jpg,5
16092.jpg,4
10990.jpg,1
17607.jpg,4
2710.jpg,0
15454.jpg,1
7254.jpg,5
5085.jpg,5
214.jpg,2
1927.jpg,1
15135.jpg,1
20685.jpg,1
15182.jpg,5
13114.jpg,1
17433.jpg,5
14515.jpg,2
11765.jpg,4
2332.jpg,0
8245.jpg,3
2890.jpg,5
12256.jpg,3
23172.jpg,4
9462.jpg,1
23481.jpg,2
19293.jpg,0
7464.jpg,3
19204.jpg,4
21032.jpg,4
3899.jpg,5
20613.jpg,3
8124.jpg,1
24167.jpg,2
4785.jpg,4
22669.jpg,5
5451.jpg,0
1623.jpg,0
15611.jpg,5
15154.jpg,5
19265.jpg,4
16721.jpg,2
15855.jpg,4
14547.jpg,2
6264.jpg,5
2849.jpg,1
11348.jpg,4
8214.jpg,4
10465.jpg,4
20927.jpg,1
6526.jpg,0
13820.jpg,2
12381.jpg,3
8156.jpg,4
13190.jpg,5
24040.jpg,5
16511.jpg,4
23723.jpg,1
3746.jpg,2
11570.jpg,0
17864.jpg,5
4961.jpg,0
17810.jpg,3
14617.jpg,1
20041.jpg,4
1246.jpg,5
19164.jpg,0
11646.jpg,2
20033.jpg,4
13298.jpg,4
6064.jpg,5
16865.jpg,4
14023.jpg,5
1030.jpg,5
20306.jpg,1
3325.jpg,2
